Nível;Indicador;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;Ensino básico;;;;;;;;;;;;;;;
1.1;Matrículas;;;;;;;;;;;;;;;
1.1.1;Ensino infantil;40924;39874;42788;44629;46856;47470;48451;49926;52651;54893;56882;58100;56929;51933;matrículas
1.1.1.1;Creche;12519;12835;19258;21793;21897;21973;21854;23483;26869;30208;29571;30653;28870;26011;matrículas
1.1.1.1.1;Municipal;8219;8591;14258;16114;14905;14657;14316;15067;17756;19428;19610;19763;19036;17643;matrículas
1.1.1.1.2;Estadual;;;2;;;;;;;356;310;271;303;172;matrículas
1.1.1.1.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.1.1.4;Privado;4300;4244;4998;5679;6992;7316;7538;8416;9113;10424;9651;10619;9531;8196;matrículas
1.1.1.2;Pré-escolar;28405;27039;23530;22836;24959;25497;26597;26443;25782;24685;27311;27447;28059;25922;matrículas
1.1.1.2.1;Municipal;18880;17537;15714;14722;15812;16065;16325;16108;15136;14019;14949;15413;15898;15166;matrículas
1.1.1.2.2;Estadual;;;2;;;;;;;189;166;138;155;132;matrículas
1.1.1.2.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.1.2.4;Privado;9525;9502;7814;8114;9147;9432;10272;10335;10646;10477;12196;11896;12006;10624;matrículas
1.1.2;Ensino fundamental;138593;138273;136263;135476;132632;129176;125670;121798;122818;121481;123678;127631;126984;126397;matrículas
1.1.2.1;1º ano;4504;6135;10744;14366;14068;13854;13921;14156;14440;14066;14354;14153;14044;;matrículas
1.1.2.1.1;Municipal;1902;2391;1973;1608;1790;1866;2041;2234;2064;2007;2008;2022;2127;2222;matrículas
1.1.2.1.2;Estadual;;1074;5382;8975;8292;8031;7816;7619;8119;8018;8000;7908;7896;8094;matrículas
1.1.2.1.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.1.4;Privado;2602;2670;3389;3783;3986;3957;4064;4303;4257;4041;4346;4223;4021;3926;matrículas
1.1.2.2;2º ano;14541;14297;10088;11563;14395;13976;13974;13832;14317;14449;14151;14230;14112;;matrículas
1.1.2.2.1;Municipal;2449;2175;2345;2150;1681;1796;1875;2102;2289;2129;2096;2102;2133;2163;matrículas
1.1.2.2.2;Estadual;9196;8486;4610;5989;9007;8354;8123;7661;7779;8145;7995;7851;7903;7781;matrículas
1.1.2.2.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.2.4;Privado;2896;3636;3133;3424;3707;3826;3976;4069;4249;4175;4060;4277;4076;3919;matrículas
1.1.2.3;3º ano;16397;15053;14291;10560;12088;14503;14068;14315;14619;14815;14918;14943;14556;;matrículas
1.1.2.3.1;Municipal;2121;2798;2556;2557;2346;1931;2024;2050;2391;2518;2363;2275;2293;2181;matrículas
1.1.2.3.2;Estadual;10387;9158;8586;4901;6222;9051;8435;8355;8213;8220;8498;8490;8116;7832;matrículas
1.1.2.3.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.3.4;Privado;3889;3097;3149;3102;3520;3521;3609;3910;4015;4077;4057;4178;4147;3944;matrículas
1.1.2.4;4º ano;17616;15522;14654;14042;10484;11888;14399;13182;13882;13734;14215;14617;14262;;matrículas
1.1.2.4.1;Municipal;2415;2212;2739;2397;2301;2136;1878;1901;1948;2232;2392;2299;2123;2314;matrículas
1.1.2.4.2;Estadual;12262;10276;9002;8503;5084;6233;8943;7730;8089;7590;7834;8291;8200;7978;matrículas
1.1.2.4.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.4.4;Privado;2939;3034;2913;3142;3099;3519;3578;3551;3845;3912;3989;4027;3939;4145;matrículas
1.1.2.5;5º ano;17893;18531;16440;15571;15155;11239;12357;14347;13646;13863;13927;14512;14570;;matrículas
1.1.2.5.1;Municipal;3485;2751;2539;3019;2633;2461;2298;2041;2129;2060;2326;2498;2339;2160;matrículas
1.1.2.5.2;Estadual;11389;12780;10933;9614;9303;5611;6485;8712;7887;8000;7764;7969;8386;8048;matrículas
1.1.2.5.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.5.4;Privado;3019;3000;2968;2938;3219;3167;3574;3594;3630;3803;3837;4045;3845;3894;matrículas
1.1.2.6;6º ano;18323;17920;18109;16287;15251;14894;11319;12359;14567;13647;13813;14222;14550;;matrículas
1.1.2.6.1;Municipal;3600;3587;2662;2463;2688;2343;2136;1982;1809;1967;1801;2121;2024;2053;matrículas
1.1.2.6.2;Estadual;11516;11169;12195;10495;9357;9064;5883;6688;9097;8223;8442;8160;8650;8440;matrículas
1.1.2.6.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.6.4;Privado;3207;3164;3252;3329;3206;3487;3300;3689;3661;3457;3570;3941;3876;3808;matrículas
1.1.2.7;7º ano;16873;17828;17879;18361;16512;15419;14861;11074;12279;14056;13214;13959;13991;;matrículas
1.1.2.7.1;Municipal;3277;3378;3542;2855;2542;2687;2478;2134;2136;1951;2040;2006;2112;2044;matrículas
1.1.2.7.2;Estadual;10454;11152;11149;12070;10620;9475;8944;5632;6529;8574;7868;8220;8083;8494;matrículas
1.1.2.7.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.7.4;Privado;3142;3298;3188;3436;3350;3257;3439;3308;3614;3531;3306;3733;3796;3779;matrículas
1.1.2.8;8º ano;15978;16397;17158;17134;17483;15813;14792;13870;10834;11770;13458;13257;13587;;matrículas
1.1.2.8.1;Municipal;2779;2980;2856;2864;2158;1999;2188;1998;1850;1814;1751;1881;1768;2075;matrículas
1.1.2.8.2;Estadual;10233;10293;11043;11087;11974;10498;9357;8460;5806;6482;8410;7970;8244;8010;matrículas
1.1.2.8.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.8.4;Privado;2966;3124;3259;3183;3351;3316;3247;3412;3178;3474;3297;3406;3575;3657;matrículas
1.1.2.9;9º ano;16468;16590;16900;17592;17196;17590;15979;14663;14234;11081;11628;13738;13312;;matrículas
1.1.2.9.1;Municipal;2506;2529;2673;2557;2577;2052;1863;1954;1945;1757;1691;1690;1726;1674;matrículas
1.1.2.9.2;Estadual;11159;11131;11198;11778;11462;12156;10826;9512;8980;6269;6698;8679;8318;8275;matrículas
1.1.2.9.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.9.4;Privado;2803;2930;3029;3257;3157;3382;3290;3197;3309;3055;3239;3369;3268;3487;matrículas
1.1.3;Ensino médio;41159;41881;44359;42995;43707;44822;46404;42434;42787;41051;37686;35464;35272;38630;matrículas
1.1.3.1;1º série;16974;16983;17721;16914;18396;18049;18413;15785;15396;14742;12315;12754;14061;13592;matrículas
1.1.3.1.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.1.2;Estadual;14221;14205;14719;14431;15091;14958;15050;12940;12634;12076;9608;9688;11421;10767;matrículas
1.1.3.1.3;Federal;;;;;;;;;39;45;100;81;76;70;matrículas
1.1.3.1.4;Privado;2753;2778;3002;2483;3305;3091;3363;2845;2723;2621;2607;2985;2564;2755;matrículas
1.1.3.2;2º série;12754;13570;14143;13897;13574;15097;14918;14489;13978;13704;13026;10892;11420;13707;matrículas
1.1.3.2.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.2.2;Estadual;10027;11088;11448;11648;11225;12072;12043;11834;11475;11147;10366;8361;8711;10927;matrículas
1.1.3.2.3;Federal;;;;;;;;;;27;3;59;76;60;matrículas
1.1.3.2.4;Privado;2727;2482;2695;2249;2349;3025;2875;2655;2503;2530;2657;2472;2633;2720;matrículas
1.1.3.3;3º série;11431;11328;12384;12149;11737;11649;13029;12097;13336;12525;12280;11766;9728;11257;matrículas
1.1.3.3.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.3.2;Estadual;8449;8327;9414;9608;9518;9348;10145;9765;10831;10026;9622;9212;7468;8459;matrículas
1.1.3.3.3;Federal;473;500;506;530;;;;;;;23;35;55;73;matrículas
1.1.3.3.4;Privado;2509;2501;2464;2011;2219;2301;2884;2332;2505;2499;2635;2519;2205;2725;matrículas
1.1.3.4;4º série;;;111;35;;;;;;;;;30;56;matrículas
1.1.3.4.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.4.2;Estadual;;;111;35;;;;;;;;;;;matrículas
1.1.3.4.3;Federal;;;;;;;;;;;;;30;56;matrículas
1.1.3.4.4;Privado;;;;;;;;;;;;;;;matrículas
1.1.3.5;Não seriada;;;;;;27;44;63;77;80;65;52;33;18;matrículas
1.1.3.5.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.5.2;Estadual;;;;;;27;44;63;77;80;65;52;33;18;matrículas
1.1.3.5.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.3.5.4;Privado;;;;;;;;;;;;;;;matrículas
1.2;Docentes;;;;;;;;;;;;;;;
1.2.1;Ensino infantil;1759;1870;1970;2024;2191;2229;2292;2359;2463;2577;2831;2750;2686;2899;docentes
1.2.1.1;Creche;692;759;759;839;924;970;956;1097;1176;1284;1134;1397;1334;1435;docentes
1.2.1.1.1;Municipal;362;401;416;462;444;482;479;568;609;582;504;670;584;720;docentes
1.2.1.1.2;Estadual;;;;;;;;;;62;74;58;62;37;docentes
1.2.1.1.3;Federal;;;;;;;;;;;;;;;docentes
1.2.1.1.4;Privado;334;360;344;377;480;488;480;531;569;642;557;670;689;679;docentes
1.2.1.2;Pré-escolar;1248;1253;1340;1307;1425;1422;1496;1430;1500;1479;1900;1551;1603;1686;docentes
1.2.1.2.1;Municipal;777;694;779;759;778;783;825;781;815;762;870;753;771;838;docentes
1.2.1.2.2;Estadual;;;1;;;;;;;24;24;18;16;26;docentes
1.2.1.2.3;Federal;;;;;;;;;;;;;;;docentes
1.2.1.2.4;Privado;483;564;564;550;650;640;673;650;686;694;1011;781;816;825;docentes
1.2.2;Ensino fundamental;6148;6309;6327;6365;6653;6771;6717;6398;6374;6343;6720;6692;6750;6770;docentes
1.2.2.1;Anos iniciais;3257;3339;3304;3337;3488;3604;3755;3646;3690;3706;3888;3763;3650;3611;docentes
1.2.2.1.1;Municipal;566;584;579;577;566;584;614;621;633;652;673;634;650;652;docentes
1.2.2.1.2;Estadual;1818;1833;1765;1777;1836;1960;2047;1881;1868;1846;1932;1866;1725;1616;docentes
1.2.2.1.3;Federal;;;;;;;;;;;;;;;docentes
1.2.2.1.4;Privado;937;983;1021;1044;1152;1124;1167;1193;1236;1265;1329;1313;1319;1382;docentes
1.2.2.2;Anos finais;3373;3467;3503;3510;3652;3653;3438;3220;3165;3164;3388;3482;3676;3713;docentes
1.2.2.2.1;Municipal;589;641;621;579;558;544;529;533;523;486;497;483;474;470;docentes
1.2.2.2.2;Estadual;2157;2110;2170;2206;2311;2327;2082;1831;1765;1760;1986;1975;2147;2146;docentes
1.2.2.2.3;Federal;;;;;;;;;;;;;;;docentes
1.2.2.2.4;Privado;818;879;893;904;961;952;977;986;996;1044;1034;1126;1157;1191;docentes
1.2.3;Ensino médio;2619;2656;2782;2763;2863;2870;3035;2814;2720;2763;2874;2791;2845;2845;docentes
1.3;Escolas;;;;;;;;;;;;;;;
1.3.1;Ensino infantil;313;302;315;315;325;327;326;330;337;356;374;373;367;375;escolas
1.3.1.1;Creche;239;232;308;305;316;318;318;323;330;348;362;367;359;360;escolas
1.3.1.1.1;Municipal;93;96;151;149;150;152;151;149;153;157;159;161;160;161;escolas
1.3.1.1.2;Estadual;;;1;;;;;;;3;3;3;3;3;escolas
1.3.1.1.3;Federal;;;;;;;;;;;;;;;escolas
1.3.1.1.4;Privado;146;136;156;156;166;166;167;174;177;188;200;203;196;196;escolas
1.3.1.2;Pré-escolar;293;282;291;293;304;303;303;304;305;320;346;336;334;339;escolas
1.3.1.2.1;Municipal;127;124;132;132;132;132;131;130;131;134;137;138;138;135;escolas
1.3.1.2.2;Estadual;;;1;;;;;;;2;2;2;2;2;escolas
1.3.1.2.3;Federal;;;;;;;;;;;;;;;escolas
1.3.1.2.4;Privado;166;158;158;161;172;171;172;174;174;184;207;196;194;202;escolas
1.3.2;Ensino fundamental;286;289;288;293;300;300;301;307;307;308;313;313;314;313;escolas
1.3.2.1;Anos iniciais;231;233;230;232;240;238;239;248;252;252;257;253;249;249;escolas
1.3.2.1.1;Municipal;39;40;41;41;40;40;40;42;42;42;42;42;42;42;escolas
1.3.2.1.2;Estadual;103;103;100;100;103;103;102;108;110;110;112;108;104;104;escolas
1.3.2.1.3;Federal;;;;;;;;;;;;;;;escolas
1.3.2.1.4;Privado;89;90;89;91;97;95;97;98;100;100;103;103;103;103;escolas
1.3.2.2;Anos finais;192;200;200;208;209;207;206;210;213;216;214;225;225;223;escolas
1.3.2.2.1;Municipal;36;37;37;37;36;35;35;34;34;34;34;34;33;33;escolas
1.3.2.2.2;Estadual;96;97;98;98;101;102;101;103;104;104;101;105;105;104;escolas
1.3.2.2.3;Federal;;;;;;;;;;;;;;;escolas
1.3.2.2.4;Privado;60;66;65;73;72;70;70;73;75;78;79;86;87;86;escolas
1.3.3;Ensino médio;135;142;148;151;154;150;152;156;154;157;156;156;155;150;escolas
2;Ensino superior;;;;;;;;;;;;;;;
2.1;Matrículas;;;;;;;;;;;;;;;matrículas
2.1.1;Municipal;;;;;;;;;;;;;;;matrículas
2.1.2;Estadual;;;;;;;;;;;;;;;matrículas
2.1.3;Federal;;;;;;;;;;;;;;;matrículas
2.1.4;Privado;;;;;;;;;;;;;;;matrículas
2.2;Docentes;;;;;;;;;;;;;;;docentes
2.2.1;Municipal;;;;;;;;;;;;;;;docentes
2.2.2;Estadual;;;;;;;;;;;;;;;docentes
2.2.3;Federal;;;;;;;;;;;;;;;docentes
2.2.4;Privado;;;;;;;;;;;;;;;docentes
2.3;Escolas;;;;;;;;;;;;;;;escolas
2.3.1;Municipal;;;;;;;;;;;;;;;escolas
2.3.2;Estadual;;;;;;;;;;;;;;;escolas
2.3.3;Federal;;;;;;;;;;;;;;;escolas
2.3.4;Privado;;;;;;;;;;;;;;;escolas



Fonte: INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA. Sinopse Estatística da Educação Básica 2010. Brasília: Inep, 2017. Disponível em <http://portal.inep.gov.br/sinopses-estatisticas-da-educacao-basica>. Acesso em: 10 05. 2019.
